Station Name,Travel Time
Katowice,5
Chorzów Batory,10
Zabrze,8
Gliwice,39
Lubliniec,80
Olesno Śląskie,15
Kluczbork,13
Byczyna Kluczborska,17
Kępno,14
Ostrzeszów,180
Ostrów Wielkopolski,18
Pleszew,14
Jarocin,20
Środa Wielkopolska,23
Poznań Główny,0
