Station Name,Travel Time
Wrocław Główny,21
Oława,7
Brzeg,20
Opole Główne,30
Lubliniec,21
Częstochowa Stradom,5
Częstochowa,24
Radomsko,26
Piotrków Trybunalski,23
Koluszki,18
Skierniewice,10
Żyrardów,19
Warszawa Zachodnia,5
Warszawa Centralna,0
