,Edge_start,Edge_end,Capacity
296,60103,54403,1
297,60103,53009,1
298,74583,75309,1
299,5900,5942,2
300,24638,24539,1
301,26500,13904,1
302,62802i,62802o,0
303,33506i,33506o,1
304,8151i,8151o,0
305,47605,47258,1
306,4101i,4101o,0
307,84400,179301,1
308,36459,36939,2
309,48355,48504,1
310,14043,13003,1
311,61705,60608,1
312,83600,83758,1
313,22202,22442,1
314,34207i,34207o,0
315,42200i,42200o,1
316,77834,77107,1
317,38885,39206,1
318,13904,14043,1
319,10405,9209,1
320,62109i,62109o,1
321,78345i,78345o,1
322,81265i,81265o,0
323,46409,47704,1
324,265251i,265251o,0
325,81125i,81125o,0
326,14308,260653,1
327,18408,17202,2
328,42606i,42606o,1
329,32540i,32540o,0
330,40832,40808,1
331,179200,12872,1
332,3905,4408,2
333,55632i,55632o,0
334,14548,29223,1
335,33506,33472,1
336,48231,48009,2
337,48355i,48355o,1
338,7112,7500,2
339,43406,30601,2
340,7583i,7583o,1
341,14407,16402,1
342,21808,7872,2
343,80986,80630,1
344,13417i,13417o,0
345,26161i,26161o,1
346,50021,49809,1
347,38653i,38653o,3
348,80416i,80416o,2
349,36103i,36103o,2
350,3467,3517,1
351,39909i,39909o,1
352,30601,33100,2
353,58784,58651,1
354,58651,60103,1
355,26146,26104,1
356,14514i,14514o,1
357,76000i,76000o,2
358,45617i,45617o,0
359,14761i,14761o,0
360,19489,45245,1
361,32706i,32706o,0
362,26500i,26500o,0
363,3509,3632,2
364,81067,80986,1
365,55145i,55145o,0
366,45682i,45682o,0
367,80986i,80986o,0
368,76109,76000,1
369,47258,47704,1
370,13904i,13904o,1
371,3905,3004,1
372,7500i,7500o,2
373,64899i,64899o,1
374,20743i,20743o,0
375,13417,13003,1
376,29405,2204,1
377,40808i,40808o,1
378,6304,5256,1
379,12963i,12963o,1
380,36939,21808,1
381,58271i,58271o,1
382,50807i,50807o,0
383,83022,83105,2
384,50104i,50104o,1
385,24638i,24638o,0
386,9233i,9233o,1
387,3632i,3632o,1
388,30205i,30205o,1
389,36509,36459,1
390,33191,32201,2
391,37507,37911,1
392,45906,45476,1
393,78907,265251,1
394,83261i,83261o,0
395,29223i,29223o,0
396,83600i,83600o,0
397,33100,33191,1
398,81208i,81208o,0
399,15008i,15008o,0
400,77701,80416,2
401,75424i,75424o,1
402,3905i,3905o,1
403,10934i,10934o,0
404,59576i,59576o,1
405,40998i,40998o,0
406,16139i,16139o,1
407,42127i,42127o,0
408,83584i,83584o,0
409,273,851,1
410,18705i,18705o,0
411,54528,54403,1
