trip_id
2024-03-11_1001-0
2024-03-11_1002-3
2024-03-11_10100-1
2024-03-11_10110-1
2024-03-11_1100-1
2024-03-11_1104-5
2024-03-11_11100-1
2024-03-11_11102-3
2024-03-11_11104-5
2024-03-11_11106-7
2024-03-11_11110-1
2024-03-11_11112-3
2024-03-11_11114-5
2024-03-11_11116-7
2024-03-11_1115-4
2024-03-11_1201-0
2024-03-11_12010-1
2024-03-11_12100-1
2024-03-11_12102-3
2024-03-11_12104-5
2024-03-11_12106-7
2024-03-11_12160-1
2024-03-11_1220-1
2024-03-11_13000-1
2024-03-11_1302-3
2024-03-11_1304-5
2024-03-11_1306-7
2024-03-11_1310-1
2024-03-11_13100-1
2024-03-11_13102-3
2024-03-11_13104-5_0
2024-03-11_13104-5_1
2024-03-11_13106-7_0
2024-03-11_13106-7_1
2024-03-11_13109-8
2024-03-11_1312-3
2024-03-11_1320-1
2024-03-11_1322-3
2024-03-11_1350-1
2024-03-11_1400-1
2024-03-11_14000-1
2024-03-11_14002-3
2024-03-11_14004-5
2024-03-11_14006-7
2024-03-11_14008-9
2024-03-11_14010-1
2024-03-11_1410-1
2024-03-11_1420-1
2024-03-11_1422-3
2024-03-11_1424-5
2024-03-11_1500-1
2024-03-11_1502-3
2024-03-11_1510-1
2024-03-11_15102-3
2024-03-11_1512-3
2024-03-11_1520-1
2024-03-11_1523-2
2024-03-11_1524-5
2024-03-11_1527
2024-03-11_1531-0
2024-03-11_1533-2
2024-03-11_1600-1
2024-03-11_1602-3
2024-03-11_16100-1
2024-03-11_16102-3
2024-03-11_16104-5
2024-03-11_16106-7
2024-03-11_16108-9
2024-03-11_16170-1
2024-03-11_1620-1
2024-03-11_1622-3
2024-03-11_1624-5
2024-03-11_1626-7
2024-03-11_17000-1
2024-03-11_17002-3
2024-03-11_17004-5
2024-03-11_17006-7
2024-03-11_17008-9
2024-03-11_17010-1
2024-03-11_17100-1
2024-03-11_17102-3
2024-03-11_17104-5
2024-03-11_1800-1
2024-03-11_18100-1
2024-03-11_18102-3
2024-03-11_18105-4
2024-03-11_18106-7
2024-03-11_18109-8
2024-03-11_18110-1
2024-03-11_18115-4
2024-03-11_18170-1
2024-03-11_1900-1
2024-03-11_1903-2
2024-03-11_1904-5
2024-03-11_1906-7
2024-03-11_1909-8
2024-03-11_1910-1
2024-03-11_19100-1
2024-03-11_19130-1
2024-03-11_19132-3
2024-03-11_20100-1
2024-03-11_2100-1
2024-03-11_21010-1
2024-03-11_21100-1
2024-03-11_21102-3
2024-03-11_21105-4
2024-03-11_21107-6
2024-03-11_2120-1
2024-03-11_22002
2024-03-11_22005
2024-03-11_22007
2024-03-11_22008
2024-03-11_22011
2024-03-11_22012
2024-03-11_22101-0
2024-03-11_23100-1
2024-03-11_24001-0
2024-03-11_24100-1
2024-03-11_24103
2024-03-11_25100-1
2024-03-11_2520-1
2024-03-11_26100-1
2024-03-11_26102-3
2024-03-11_2701-0
2024-03-11_27100-1
2024-03-11_27102-3
2024-03-11_28100-1
2024-03-11_28102-3
2024-03-11_28104-5
2024-03-11_30103
2024-03-11_30104-5
2024-03-11_30110-1
2024-03-11_30112-3
2024-03-11_30170-1
2024-03-11_3100-1
2024-03-11_31000-1
2024-03-11_3102-3
2024-03-11_3106-7
2024-03-11_3108-9
2024-03-11_31100-1
2024-03-11_31102-3
2024-03-11_31104-5_0
2024-03-11_31104-5_1
2024-03-11_31106-7_0
2024-03-11_31106-7_1
2024-03-11_31108-9
2024-03-11_3112-3
2024-03-11_3120-1
2024-03-11_3122-3
2024-03-11_3128-9
2024-03-11_3150-1
2024-03-11_32100-1
2024-03-11_33001
2024-03-11_33002
2024-03-11_33004
2024-03-11_33007
2024-03-11_33008
2024-03-11_33013
2024-03-11_33014
2024-03-11_33017
2024-03-11_33018
2024-03-11_33025
2024-03-11_33104-5
2024-03-11_33110-1
2024-03-11_33112-3
2024-03-11_33170-1
2024-03-11_34000-1
2024-03-11_34002-3
2024-03-11_34004-5
2024-03-11_34006-7
2024-03-11_3500-1
2024-03-11_3502-3
2024-03-11_3504-5
2024-03-11_3506-7
2024-03-11_3508-9
2024-03-11_3510-1
2024-03-11_35102-3
2024-03-11_35104-5
2024-03-11_3512-3
2024-03-11_3514-5
2024-03-11_35170-1
2024-03-11_35172-3
2024-03-11_3520-1
2024-03-11_3522-3
2024-03-11_3524-5
2024-03-11_3526-7
2024-03-11_3532-3
2024-03-11_3534-5
2024-03-11_3560-1
2024-03-11_3600-1
2024-03-11_3602-3
2024-03-11_3604-5
2024-03-11_36100-1
2024-03-11_36102-3
2024-03-11_36106-7
2024-03-11_3700-1
2024-03-11_37000-1
2024-03-11_37002-3
2024-03-11_37100-1
2024-03-11_37102-3
