,Edge,Capacity
125,"('Zamość Starówka', 'Zamość')",1
126,"('Suwałki', 'Augustów')",1
127,"('Łobez', 'Runowo Pomorskie')",1
128,"('Mockava', 'Trakiszki')",1
129,"('Radom Główny', 'Przysucha')",1
130,"('Tarnów', 'Kraków Płaszów')",1
131,"('Zgierz', 'Ozorków')",1
132,"('Rzepin', 'Kostrzyn')",1
133,"('Wrocław Główny', 'Oborniki Śląskie')",1
134,"('Wróblik Szlachecki', 'Zarszyn')",1
135,"('Kraków Płaszów', 'Kraków Główny')",1
136,"('Laskowice Pomorskie', 'Tczew')",1
137,"('Szczebrzeszyn', 'Zawada')",1
138,"('Tłuszcz', 'Wołomin')",1
139,"('Czechowice-Dziedzice', 'Bielsko-Biała Główna')",1
140,"('Włoszczowa Północ', 'Zawiercie')",1
141,"('Stróże', 'Bobowa Miasto')",1
142,"('Międzyrzec Podlaski', 'Biała Podlaska')",1
143,"('Ustronie Morskie', 'Kołobrzeg')",1
144,"('Gryfino', 'Szczecin Główny')",1
145,"('Konin', 'Poznań Główny')",1
146,"('Łódź Pabianicka', 'Łódź Chojny')",1
147,"('Tuchów', 'Bogoniowice Ciężkowice')",1
148,"('Rzeszów Główny', 'Rzeszów Zachodni')",1
149,"('Pleszew', 'Jarocin')",1
150,"('Kłodzko Miasto', 'Kłodzko Główne')",1
151,"('Olsztynek', 'Olsztyn Zachodni')",1
152,"('Łuków', 'Siedlce')",1
153,"('Sławno', 'Koszalin')",1
154,"('Warszawa Gdańska', 'Opoczno Południe')",1
155,"('Włoszczowa Północ', 'Sosnowiec Główny')",1
156,"('Nowy Sącz', 'Stary Sącz')",1
157,"('Bytom Odrzański', 'Nowa Sól')",1
158,"('Bogoniowice Ciężkowice', 'Bobowa Miasto')",1
159,"('Lubliniec', 'Opole Główne')",1
160,"('Zamość', 'Zamość Starówka')",1
161,"('Łódź Fabryczna', 'Łódź Widzew')",1
162,"('Łuków', 'Międzyrzec Podlaski')",1
163,"('Warszawa Wschodnia', 'Warszawa Gdańska')",1
164,"('Gorzkowice', 'Piotrków Trybunalski')",1
165,"('Wałbrzych Miasto', 'Jelenia Góra')",1
166,"('Grybów', 'Stróże')",1
167,"('Bydgoszcz Główna', 'Nakło nad Notecią')",1
168,"('Myszków', 'Częstochowa Stradom')",1
169,"('Sarnaki', 'Siemiatycze')",1
170,"('Przemyśl Zasanie', 'Przemyśl Główny')",1
171,"('Grodzisk Mazowiecki', 'Warszawa Gdańska')",1
172,"('Skierniewice', 'Koluszki')",1
173,"('Słupsk', 'Sławno')",1
174,"('Iława Główna', 'Malbork')",1
175,"('Wierchomla Wielka', 'Żegiestów Zdrój')",1
176,"('Warszawa Zachodnia', 'Warszawa Centralna')",1
177,"('Chotyłów', 'Biała Podlaska')",1
178,"('Małaszewicze Przystanek', 'Terespol')",1
179,"('Chojnów', 'Bolesławiec')",1
180,"('Jaworzno Szczakowa', 'Mysłowice')",1
181,"('Pasłęk', 'Elbląg')",1
182,"('Wodzisław Śląski', 'Chałupki')",1
183,"('Łódź Widzew', 'Łódź Chojny')",1
184,"('Łódź Chojny', 'Łódź Dąbrowa')",1
185,"('Białystok Zielone Wzgórza', 'Białystok')",1
186,"('Skarżysko Kościelne', 'Starachowice Wschodnie')",1
187,"('Sędzisław', 'Janowice Wielkie')",1
188,"('Przemyśl Zasanie', 'Radymno')",1
189,"('Stary Sącz', 'Nowy Sącz')",1
190,"('Tychy', 'Pszczyna')",1
191,"('Białogard', 'Świdwin')",1
192,"('Jaworzno Szczakowa', 'Zawiercie')",1
193,"('Lublin Główny', 'Lublin Zachodni')",1
194,"('Puławy Miasto', 'Nałęczów')",1
195,"('Przeworsk', 'Jarosław')",1
196,"('Ozorków', 'Zgierz')",1
197,"('Zawiercie', 'Myszków')",1
198,"('Świebodzin', 'Rzepin')",1
199,"('Sanok', 'Zagórz')",1
200,"('Grajewo', 'Ełk')",1
201,"('Skierniewice', 'Żyrardów')",1
202,"('Głogów', 'Zielona Góra Główna')",1
203,"('Myszków', 'Zawiercie')",1
204,"('Kamieniec Ząbkowicki', 'Ząbkowice Śląskie')",1
205,"('Suchedniów', 'Skarżysko Kamienna')",1
206,"('Nasielsk', 'Ciechanów')",1
207,"('Starachowice Wschodnie', 'Ostrowiec Świętokrzyski')",1
208,"('Łowicz Główny', 'Żychlin')",1
209,"('Nurzec', 'Czeremcha')",1
210,"('Kowalewo Pomorskie', 'Toruń Wschodni')",1
211,"('Łódź Dąbrowa', 'Łódź Widzew')",1
212,"('Pieńsk', 'Zgorzelec Miasto')",1
213,"('Pelplin', 'Tczew')",1
214,"('Kalwaria Zebrzydowska Lanckorona', 'Sucha Beskidzka Zamek')",1
215,"('Głogówek', 'Prudnik')",1
216,"('Pszczyna', 'Czechowice-Dziedzice')",1
217,"('Stalowa Wola Rozwadów', 'Stalowa Wola Centrum')",1
218,"('Żagań', 'Żary')",1
219,"('Siedlce', 'Siedlce Zachodnie')",1
220,"('Tarnów', 'Tuchów')",1
221,"('Hrubieszów Miasto', 'Werbkowice')",1
222,"('Szczecin Dąbie', 'Szczecin Główny')",1
223,"('Mogilno', 'Inowrocław')",1
224,"('Sarnaki', 'Niemojki')",1
225,"('Łódź Chojny', 'Łódź Kaliska')",1
226,"('Szepietowo', 'Czyżew')",1
227,"('Gdańsk Główny', 'Gdańsk Wrzeszcz')",1
228,"('Kościan', 'Poznań Główny')",1
229,"('Katowice', 'Tychy')",1
230,"('Będzin Miasto', 'Sosnowiec Główny')",1
231,"('Jabłonowo Pomorskie', 'Wąbrzeźno')",1
232,"('Czyżew', 'Szepietowo')",1
233,"('Warszawa Wschodnia', 'Warszawa Centralna')",1
234,"('Poronin', 'Zakopane')",1
235,"('Inowrocław', 'Bydgoszcz Główna')",1
236,"('Mysłowice', 'Katowice')",1
237,"('Warszawa Wschodnia', 'Otwock')",1
238,"('Radomsko', 'Gorzkowice')",1
239,"('Poznań Główny', 'Gniezno')",1
240,"('Krzyż', 'Dobiegniew')",1
