,Edge,Capacity
537,"('Mrozy', 'Mińsk Mazowiecki')",1
538,"('Łódź Chojny', 'Łódź Retkinia')",1
539,"('Przysucha', 'Drzewica')",1
540,"('Rawicz', 'Leszno')",1
541,"('Nałęczów', 'Puławy Miasto')",1
542,"('Leżajsk', 'Łańcut')",1
543,"('Zamość Wschód', 'Zamość Starówka')",1
544,"('Warszawa Młynów', 'Warszawa Zachodnia (Peron 9)')",1
545,"('Legionowo', 'Nowy Dwór Mazowiecki')",1
546,"('Krosno Miasto', 'Wróblik Szlachecki')",1
547,"('Zaklików', 'Kraśnik')",1
548,"('Tarnów', 'Kraków Główny')",1
549,"('Jedlina-Zdrój', 'Wałbrzych Główny')",1
550,"('Poronin', 'Nowy Targ')",1
551,"('Poznań Główny', 'Opalenica')",1
552,"('Rudnik nad Sanem', 'Nowa Sarzyna')",1
553,"('Kraków Główny', 'Kalwaria Zebrzydowska Lanckorona')",1
554,"('Choszczno', 'Stargard')",1
555,"('Drzewica', 'Tomaszów Mazowiecki')",1
556,"('Radom Główny', 'Skarżysko Kamienna')",1
557,"('Brzeg', 'Oława')",1
558,"('Lublin Główny', 'Lubartów')",1
559,"('Piaseczno', 'Warka')",1
560,"('Kielce', 'Suchedniów')",1
561,"('Kuźnia Raciborska', 'Racibórz')",1
562,"('Twardogóra', 'Oleśnica Rataje')",1
563,"('Lubartów', 'Parczew')",1
564,"('Mińsk Mazowiecki', 'Mrozy')",1
565,"('Nisko', 'Stalowa Wola Centrum')",1
566,"('Warka', 'Radom Gołębiów')",1
567,"('Sobolew', 'Pilawa')",1
568,"('Łapy', 'Białystok Zielone Wzgórza')",1
569,"('Miechów', 'Włoszczowa Północ')",1
570,"('Zamość', 'Zawada')",1
571,"('Kutno', 'Koło')",1
572,"('Białystok Zielone Wzgórza', 'Bielsk Podlaski')",1
573,"('Pisz', 'Ruciane Nida')",1
574,"('Piwniczna Zdrój', 'Rytro')",1
575,"('Zawada', 'Szczebrzeszyn')",1
576,"('Parczew', 'Radzyń Podlaski')",1
577,"('Rudnik nad Sanem', 'Nisko')",1
578,"('Lubartów', 'Lublin Główny')",1
579,"('Krosno', 'Jedlicze')",1
580,"('Częstochowa', 'Częstochowa Stradom')",1
581,"('Parczew', 'Lubartów')",1
582,"('Częstochowa', 'Koniecpol')",1
583,"('Mieszkowice', 'Chojna')",1
584,"('Bardo Śląskie', 'Kłodzko Główne')",1
585,"('Stary Sącz', 'Rytro')",1
586,"('Nurzec', 'Siemiatycze')",1
587,"('Łódź Kaliska', 'Łódź Retkinia')",1
588,"('Zakopane', 'Nowy Targ')",1
589,"('Międzyrzec Podlaski', 'Łuków')",1
590,"('Wrocław Nadodrze', 'Wrocław Mikołajów')",1
591,"('Ostrzeszów', 'Ostrów Wielkopolski')",1
592,"('Łuków', 'Radzyń Podlaski')",1
593,"('Ostrowiec Świętokrzyski', 'Starachowice Wschodnie')",1
594,"('Gniezno', 'Poznań Główny')",1
595,"('Chotyłów', 'Małaszewicze Przystanek')",1
596,"('Jarosław', 'Przeworsk')",1
597,"('Radomsko', 'Częstochowa')",1
598,"('Trakiszki', 'Suwałki')",1
599,"('Babimost', 'Sulechów')",1
600,"('Krzyż', 'Choszczno')",1
601,"('Włoszczowa Północ', 'Miechów')",1
602,"('Rybnik', 'Racibórz')",1
603,"('Mińsk Mazowiecki', 'Warszawa Wschodnia')",1
604,"('Nowy Targ', 'Zakopane')",1
605,"('Środa Wielkopolska', 'Poznań Główny')",1
606,"('Ostrów Wielkopolski', 'Pleszew')",1
607,"('Ostróda', 'Olsztyn Zachodni')",1
608,"('Nowa Dęba', 'Tarnobrzeg')",1
609,"('Milicz', 'Oleśnica Rataje')",1
610,"('Trawniki', 'Rejowiec')",1
611,"('Łomnica Zdrój', 'Piwniczna Zdrój')",1
612,"('Łomnica Zdrój', 'Wierchomla Wielka')",1
613,"('Siedlce Zachodnie', 'Siedlce')",1
614,"('Miechów', 'Kraków Główny')",1
615,"('Kędzierzyn Koźle', 'Głogówek')",1
616,"('Piotrków Trybunalski', 'Gorzkowice')",1
617,"('Ropczyce', 'Dębica')",1
618,"('Otwock', 'Pilawa')",1
619,"('Izbica', 'Krasnystaw Miasto')",1
620,"('Opoczno Południe', 'Włoszczowa Północ')",1
621,"('Warszawa Zachodnia', 'Zawiercie')",1
622,"('Piotrków Trybunalski', 'Radomsko')",1
623,"('Jędrzejów', 'Kielce')",1
624,"('Szczecin Dąbie', 'Goleniów')",1
625,"('Stalowa Wola Rozwadów', 'Sandomierz')",1
626,"('Ełk', 'Biała Piska')",1
627,"('Kutno', 'Konin')",1
628,"('Gorlice Zagórzany', 'Bogoniowice Ciężkowice')",1
629,"('Olsztyn Zachodni', 'Olsztyn Główny')",1
630,"('Tychy', 'Rybnik')",1
631,"('Leżajsk', 'Przeworsk')",1
632,"('Suchedniów', 'Kielce')",1
633,"('Kalisz', 'Pleszew')",1
634,"('Zawada', 'Izbica')",1
635,"('Warszawa Główna', 'Warszawa Zachodnia')",1
636,"('Ozimek', 'Opole Główne')",1
637,"('Przemyśl Główny', 'Mostiska II')",1
638,"('Łódź Chojny', 'Łódź Pabianicka')",1
639,"('Koszalin', 'Ustronie Morskie')",1
640,"('Łęczyca', 'Kutno')",1
641,"('Zduńska Wola', 'Sieradz')",1
642,"('Dorohusk', 'Jahodyn')",1
643,"('Zebrzydowice', 'Petrovice u Karviné')",1
644,"('Bolesławiec', 'Węgliniec')",1
645,"('Lublin Zachodni', 'Nałęczów')",1
646,"('Żychlin', 'Kutno')",1
647,"('Krynica Zdrój', 'Muszyna Zdrój')",1
648,"('Biłgoraj', 'Stalowa Wola Rozwadów')",1
649,"('Warszawa Wschodnia', 'Mińsk Mazowiecki')",1
650,"('Tłuszcz', 'Łochów')",1
651,"('Świdnik Miasto', 'Trawniki')",1
652,"('Maków Podhalański', 'Chabówka Stadion')",1
653,"('Jedlicze', 'Jasło')",1
654,"('Zawiercie', 'Dąbrowa Górnicza')",1
655,"('Nowa Sól', 'Zielona Góra Główna')",1
656,"('Kostrzyn', 'Mieszkowice')",1
657,"('Kutno', 'Włocławek')",1
658,"('Nisko', 'Rudnik nad Sanem')",1
659,"('Lublin Zachodni', 'Lublin Główny')",1
660,"('Dębica', 'Tarnów')",1
661,"('Rumia', 'Wejherowo')",1
662,"('Miechów', 'Sędziszów')",1
663,"('Niemojki', 'Sarnaki')",1
664,"('Żegiestów Zdrój', 'Wierchomla Wielka')",1
665,"('Radom Główny', 'Pionki Zachodnie')",1
666,"('Białystok', 'Sokółka')",1
667,"('Nałęczów', 'Lublin Zachodni')",1
668,"('Łańcut', 'Przeworsk')",1
669,"('Małomice', 'Żagań')",1
670,"('Kalwaria Zebrzydowska Lanckorona', 'Kraków Główny')",1
671,"('Sędziszów', 'Miechów')",1
672,"('Łódź\xa0Żabiniec', 'Łódź Kaliska')",1
673,"('Wałbrzych Miasto', 'Wałbrzych Główny')",1
