stop_id,stop_name,stop_lat,stop_lon,stop_IBNR
65532i,Nowa Dęba_i,50.41544555368,21.7398056001,2167.0
5108i,Sławno_i,54.3556494354,16.66879392961,187.0
34207i,Żyrardów_i,52.05234533554,20.44856070399,1566.0
50104i,Nałęczów_i,51.31807269238,22.21296795595,130.0
81208i,Dębica_i,50.05405500371,21.40445496407,31.0
29108i,Krzyż_i,52.8772801966,16.01801163281,90.0
1107i,Szczecin Dąbie_i,53.39123361294,14.66926219396,200.0
54817i,Świdnica Miasto_i,50.84112363519,16.48150919795,213.0
46458i,Łódź Fabryczna_i,51.76956162252,19.46956420169,112.0
47605i,Tomaszów Mazowiecki_i,51.54681097307,20.03376730833,225.0
55665i,Janowice Wielkie_i,50.87851661199,15.9187708272,6155.0
20743i,Wąbrzeźno_i,53.26501488054,18.98184118506,5672.0
30809i,Gniezno_i,52.52968955788,17.60357013519,45.0
66589i,Zwierzyniec_i,50.60920539748,22.98429796271,2307.0
22004i,Ostróda_i,53.69967504512,19.95142715682,144.0
26161i,Babimost_i,52.16850193898,15.81518693923,7022.0
83105i,Przeworsk_i,50.06725141172,22.50268644933,163.0
53850i,Bolesławiec_i,51.26609729848,15.56960104823,10.0
80630i,Tarnów_i,50.00531942647,20.97452997647,220.0
48009i,Skarżysko Kamienna_i,51.11591040278,20.88136602447,185.0
33472i,Warszawa Główna_i,52.22514314412,20.98546389815,1477.0
61903i,Gogolin_i,50.49288100669,18.01886108457,6129.0
59808i,Strzelin_i,50.7846554663,17.06033877261,6436.0
12336i,Biała Piska_i,53.61494359299,22.06528369869,1041.0
258708i,Sucha Beskidzka Zamek_i,49.74347611177,19.60342883527,3392.0
47886i,Radomsko_i,51.07473698255,19.43759879597,170.0
46805i,Zgierz_i,51.84930968801,19.42559837759,702.0
258468i,Zamość Wschód_i,50.72251787642,23.27600378741,276.0
48801i,Przysucha_i,51.37805592715,20.6587555324,164.0
50906i,Chełm_i,51.14124000061,23.49326282389,16.0
24802i,Sokółka_i,53.40325782489,23.50737489028,189.0
59105i,Wrocław Nadodrze_i,51.1256883954,17.0334276238,6516.0
75788i,Skoczów_i,49.79354529741,18.79014014661,
83535i,Krosno Miasto_i,49.6826876126,21.77269317516,3140.0
14514i,Wyrzysk Osiek_i,53.11906715956,17.29337381655,8447.0
