Station Name,Travel Time
Przemyśl Główny                  ,3
Przemyśl Zasanie                 ,21
Jarosław                         ,9
Przeworsk                        ,12
Łańcut                           ,11
Rzeszów Główny                   ,23
Dębica                           ,16
Tarnów                           ,19
Bochnia                          ,19
Kraków Płaszów                   ,5
Kraków Główny                    ,52
Katowice                         ,14
Zabrze                           ,7
Gliwice                          ,45
Opole Główne                     ,52
Wrocław Główny                   ,1319
