Station Name,Travel Time
Przemyśl Główny                  ,2
Przemyśl Zasanie                 ,13
Radymno                          ,8
Jarosław                         ,9
Przeworsk                        ,21
Leżajsk                          ,7
Nowa Sarzyna                     ,14
Rudnik nad Sanem                 ,11
Nisko                            ,7
Stalowa Wola Centrum             ,2
Stalowa Wola Rozwadów            ,25
Sandomierz                       ,0508
