Station Name,Travel Time
Gdynia Główna_i,0
Gdynia Główna_o,8
Sopot_i,2
Sopot_o,3
Gdańsk Oliwa_i,1
Gdańsk Oliwa_o,4
Gdańsk Wrzeszcz_i,1
Gdańsk Wrzeszcz_o,4
Gdańsk Główny_i,3
Gdańsk Główny_o,6
Pruszcz Gdański_i,0
Pruszcz Gdański_o,11
Tczew_i,1
Tczew_o,24
Smętowo_i,0
Smętowo_o,17
Laskowice Pomorskie_i,1
Laskowice Pomorskie_o,28
Bydgoszcz Główna_i,11
Bydgoszcz Główna_o,4
Bydgoszcz Leśna_i,1
Bydgoszcz Leśna_o,3
Bydgoszcz Wschód_i,1
Bydgoszcz Wschód_o,8
Solec Kujawski_i,1
Solec Kujawski_o,18
Toruń Główny_i,2
Toruń Główny_o,11
Aleksandrów Kujawski_i,1
Aleksandrów Kujawski_o,20
Włocławek_i,1
Włocławek_o,33
Kutno_i,14
Kutno_o,22
Łęczyca_i,1
Łęczyca_o,6
Ozorków_i,0
Ozorków_o,15
Zgierz_i,3
Zgierz_o,6
Łódź Żabiniec_i,1
Łódź Żabiniec_o,5
Łódź Kaliska_i,2
Łódź Kaliska_o,8
Łódź Chojny_i,1
Łódź Chojny_o,8
Łódź Widzew_i,3
Łódź Widzew_o,35
Piotrków Trybunalski_i,1
Piotrków Trybunalski_o,26
Radomsko_i,1
Radomsko_o,23
Częstochowa_i,7
Częstochowa_o,18
Myszków_i,1
Myszków_o,8
Zawiercie_i,1
Zawiercie_o,16
Dąbrowa Górnicza_i,1
Dąbrowa Górnicza_o,3
Będzin Miasto_i,0
Będzin Miasto_o,8
Sosnowiec Główny_i,1
Sosnowiec Główny_o,10
Katowice_i,6
Katowice_o,14
Tychy_i,1
Tychy_o,16
Pszczyna_i,2
Pszczyna_o,8
Czechowice-Dziedzice_i,1
Czechowice-Dziedzice_o,1449
