Station Name,Travel Time
Warszawa Wschodnia_i,5
Warszawa Wschodnia_o,6
Warszawa Centralna_i,2
Warszawa Centralna_o,4
Warszawa Zachodnia_i,2
Warszawa Zachodnia_o,20
Żyrardów_i,2
Żyrardów_o,12
Skierniewice_i,2
Skierniewice_o,19
Koluszki_i,1
Koluszki_o,13
Łódź Widzew_i,3
Łódź Widzew_o,9
Łódź Chojny_i,1
Łódź Chojny_o,8
Łódź Retkinia_i,0
Łódź Retkinia_o,7
Pabianice_i,2
Pabianice_o,10
Łask_i,2
Łask_o,8
Zduńska Wola_i,2
Zduńska Wola_o,12
Sieradz_i,1
Sieradz_o,30
Kalisz_i,1
Kalisz_o,15
Ostrów Wielkopolski_i,3
Ostrów Wielkopolski_o,27
Krotoszyn_i,2
Krotoszyn_o,14
Milicz_i,1
Milicz_o,29
Oleśnica Rataje_i,0
Oleśnica Rataje_o,18
Wrocław Nadodrze_i,1
Wrocław Nadodrze_o,4
Wrocław Mikołajów_i,1
Wrocław Mikołajów_o,5
Wrocław Główny_i,19
Wrocław Główny_o,11
Wrocław Leśnica_i,0
Wrocław Leśnica_o,11
Środa Śląska_i,0
Środa Śląska_o,16
Legnica_i,3
Legnica_o,10
Chojnów_i,0
Chojnów_o,13
Bolesławiec_i,1
Bolesławiec_o,12
Węgliniec_i,1
Węgliniec_o,8
Pieńsk_i,0
Pieńsk_o,6
Zgorzelec Miasto_i,1
Zgorzelec Miasto_o,2
Zgorzelec_i,0
Zgorzelec_o,1552
