Station Name,Travel Time
Kraków Główny                    ,16
Krzeszowice                      ,7
Trzebinia                        ,8
Jaworzno Szczakowa               ,10
Mysłowice                        ,10
Katowice                         ,13
Zabrze                           ,6
Gliwice                          ,25
Strzelce Opolskie                ,20
Opole Główne                     ,18
Brzeg                            ,7
Oława                            ,20
Wrocław Główny                   ,15
Oborniki Śląskie                 ,10
Żmigród                          ,8
Rawicz                           ,15
Leszno                           ,13
Kościan                          ,22
Poznań Główny                    ,27
Gniezno                          ,15
Mogilno                          ,15
Inowrocław                       ,26
Bydgoszcz Główna                 ,28
Laskowice Pomorskie              ,40
Tczew                            ,15
Gdańsk Główny                    ,3
Gdańsk Wrzeszcz                  ,3
Gdańsk Oliwa                     ,3
Sopot                            ,7
Gdynia Główna                    ,1127
