Station Name,Travel Time
Wrocław Główny_i,0
Wrocław Główny_o,15
Oborniki Śląskie_i,1
Oborniki Śląskie_o,10
Żmigród_i,1
Żmigród_o,8
Rawicz_i,1
Rawicz_o,15
Leszno_i,1
Leszno_o,13
Kościan_i,2
Kościan_o,23
Poznań Główny_i,20
Poznań Główny_o,26
Gniezno_i,1
Gniezno_o,15
Mogilno_i,1
Mogilno_o,15
Inowrocław_i,2
Inowrocław_o,26
Bydgoszcz Główna_i,7
Bydgoszcz Główna_o,30
Laskowice Pomorskie_i,1
Laskowice Pomorskie_o,38
Tczew_i,1
Tczew_o,15
Gdańsk Główny_i,3
Gdańsk Główny_o,4
Gdańsk Wrzeszcz_i,2
Gdańsk Wrzeszcz_o,3
Gdańsk Oliwa_i,1
Gdańsk Oliwa_o,3
Sopot_i,2
Sopot_o,8
Gdynia Główna_i,5
Gdynia Główna_o,653
