Station Name,Travel Time
Wrocław Główny_i,0
Wrocław Główny_o,45
Opole Główne_i,2
Opole Główne_o,46
Gliwice_i,2
Gliwice_o,6
Zabrze_i,1
Zabrze_o,14
Katowice_i,5
Katowice_o,57
Kraków Główny_i,11
Kraków Główny_o,5
Kraków Płaszów_i,1
Kraków Płaszów_o,19
Bochnia_i,1
Bochnia_o,19
Tarnów_i,2
Tarnów_o,16
Dębica_i,1
Dębica_o,22
Rzeszów Główny_i,3
Rzeszów Główny_o,11
Łańcut_i,1
Łańcut_o,13
Przeworsk_i,1
Przeworsk_o,10
Jarosław_i,1
Jarosław_o,21
Przemyśl Zasanie_i,1
Przemyśl Zasanie_o,3
Przemyśl Główny_i,7
Przemyśl Główny_o,856
