Station Name,Travel Time
Gliwice_i,0
Gliwice_o,6
Zabrze_i,1
Zabrze_o,15
Katowice_i,3
Katowice_o,9
Sosnowiec Główny_i,1
Sosnowiec Główny_o,25
Zawiercie_i,1
Zawiercie_o,101
Warszawa Zachodnia_i,1
Warszawa Zachodnia_o,5
Warszawa Centralna_i,11
Warszawa Centralna_o,6
Warszawa Wschodnia_i,2
Warszawa Wschodnia_o,88
Iława Główna_i,0
Iława Główna_o,32
Malbork_i,0
Malbork_o,10
Tczew_i,0
Tczew_o,13
Gdańsk Główny_i,3
Gdańsk Główny_o,4
Gdańsk Wrzeszcz_i,1
Gdańsk Wrzeszcz_o,4
Gdańsk Oliwa_i,1
Gdańsk Oliwa_o,4
Sopot_i,1
Sopot_o,8
Gdynia Główna_i,0
Gdynia Główna_o,1426
