Station Name,Travel Time
Warszawa Główna                  ,2
Warszawa Zachodnia               ,29
Sochaczew                        ,13
Łowicz Główny                    ,21
Kutno                            ,31
Włocławek                        ,19
Aleksandrów Kujawski             ,13
Toruń Główny                     ,17
Solec Kujawski                   ,8
Bydgoszcz Wschód                 ,3
Bydgoszcz Leśna                  ,5
Bydgoszcz Główna                 ,1020
