Station Name,Travel Time
Gdynia Główna_i,0
Gdynia Główna_o,8
Sopot_i,2
Sopot_o,3
Gdańsk Oliwa_i,1
Gdańsk Oliwa_o,4
Gdańsk Wrzeszcz_i,1
Gdańsk Wrzeszcz_o,4
Gdańsk Główny_i,3
Gdańsk Główny_o,6
Pruszcz Gdański_i,0
Pruszcz Gdański_o,11
Tczew_i,1
Tczew_o,12
Pelplin_i,0
Pelplin_o,11
Smętowo_i,0
Smętowo_o,16
Laskowice Pomorskie_i,1
Laskowice Pomorskie_o,28
Bydgoszcz Główna_i,7
Bydgoszcz Główna_o,26
Inowrocław_i,1
Inowrocław_o,16
Mogilno_i,1
Mogilno_o,14
Gniezno_i,1
Gniezno_o,29
Poznań Główny_i,0
Poznań Główny_o,1852
