Station Name,Travel Time
Gdynia Główna_i,5
Gdynia Główna_o,8
Sopot_i,2
Sopot_o,3
Gdańsk Oliwa_i,2
Gdańsk Oliwa_o,4
Gdańsk Wrzeszcz_i,2
Gdańsk Wrzeszcz_o,4
Gdańsk Główny_i,3
Gdańsk Główny_o,18
Tczew_i,2
Tczew_o,42
Laskowice Pomorskie_i,1
Laskowice Pomorskie_o,31
Bydgoszcz Główna_i,8
Bydgoszcz Główna_o,30
Inowrocław_i,1
Inowrocław_o,17
Mogilno_i,1
Mogilno_o,17
Gniezno_i,1
Gniezno_o,28
Poznań Główny_i,18
Poznań Główny_o,22
Kościan_i,1
Kościan_o,14
Leszno_i,1
Leszno_o,16
Rawicz_i,1
Rawicz_o,9
Żmigród_i,1
Żmigród_o,11
Oborniki Śląskie_i,1
Oborniki Śląskie_o,16
Wrocław Główny_i,25
Wrocław Główny_o,34
Jaworzyna Śląska_i,1
Jaworzyna Śląska_o,6
Świebodzice_i,1
Świebodzice_o,12
Wałbrzych Miasto_i,1
Wałbrzych Miasto_o,10
Wałbrzych Główny_i,9
Wałbrzych Główny_o,16
Sędzisław_i,1
Sędzisław_o,13
Janowice Wielkie_i,1
Janowice Wielkie_o,14
Jelenia Góra_i,0
Jelenia Góra_o,444
