Station Name,Travel Time
Gdynia Główna_i,7
Gdynia Główna_o,8
Sopot_i,2
Sopot_o,3
Gdańsk Oliwa_i,1
Gdańsk Oliwa_o,4
Gdańsk Wrzeszcz_i,1
Gdańsk Wrzeszcz_o,4
Gdańsk Główny_i,3
Gdańsk Główny_o,17
Tczew_i,1
Tczew_o,39
Laskowice Pomorskie_i,1
Laskowice Pomorskie_o,30
Bydgoszcz Główna_i,9
Bydgoszcz Główna_o,27
Inowrocław_i,1
Inowrocław_o,17
Mogilno_i,1
Mogilno_o,17
Gniezno_i,1
Gniezno_o,27
Poznań Główny_i,18
Poznań Główny_o,22
Kościan_i,1
Kościan_o,14
Leszno_i,1
Leszno_o,16
Rawicz_i,5
Rawicz_o,9
Żmigród_i,2
Żmigród_o,11
Oborniki Śląskie_i,2
Oborniki Śląskie_o,16
Wrocław Główny_i,13
Wrocław Główny_o,20
Oława_i,2
Oława_o,9
Brzeg_i,1
Brzeg_o,20
Opole Główne_i,2
Opole Główne_o,20
Strzelce Opolskie_i,1
Strzelce Opolskie_o,17
Pyskowice_i,2
Pyskowice_o,12
Gliwice_i,3
Gliwice_o,6
Zabrze_i,1
Zabrze_o,15
Katowice_i,8
Katowice_o,12
Mysłowice_i,4
Mysłowice_o,9
Jaworzno Szczakowa_i,1
Jaworzno Szczakowa_o,9
Trzebinia_i,1
Trzebinia_o,8
Krzeszowice_i,1
Krzeszowice_o,16
Kraków Główny_i,20
Kraków Główny_o,5
Kraków Płaszów_i,1
Kraków Płaszów_o,19
Bochnia_i,1
Bochnia_o,7
Brzesko Okocim_i,1
Brzesko Okocim_o,14
Tarnów_i,3
Tarnów_o,16
Dębica_i,3
Dębica_o,7
Ropczyce_i,2
Ropczyce_o,5
Sędziszów Małopolski_i,2
Sędziszów Małopolski_o,13
Rzeszów Główny_i,2
Rzeszów Główny_o,11
Łańcut_i,1
Łańcut_o,13
Przeworsk_i,1
Przeworsk_o,9
Jarosław_i,1
Jarosław_o,9
Radymno_i,1
Radymno_o,14
Przemyśl Zasanie_i,1
Przemyśl Zasanie_o,3
Przemyśl Główny_i,5
Przemyśl Główny_o,939
