Station Name,Travel Time
Warszawa Wschodnia_i,5
Warszawa Wschodnia_o,6
Warszawa Centralna_i,9
Warszawa Centralna_o,4
Warszawa Zachodnia_i,2
Warszawa Zachodnia_o,28
Sochaczew_i,2
Sochaczew_o,12
Łowicz Główny_i,1
Łowicz Główny_o,20
Kutno_i,1
Kutno_o,31
Włocławek_i,4
Włocławek_o,19
Aleksandrów Kujawski_i,1
Aleksandrów Kujawski_o,13
Toruń Główny_i,2
Toruń Główny_o,17
Solec Kujawski_i,1
Solec Kujawski_o,8
Bydgoszcz Wschód_i,1
Bydgoszcz Wschód_o,3
Bydgoszcz Leśna_i,1
Bydgoszcz Leśna_o,4
Bydgoszcz Główna_i,23
Bydgoszcz Główna_o,25
Nakło nad Notecią_i,1
Nakło nad Notecią_o,16
Wyrzysk Osiek_i,1
Wyrzysk Osiek_o,28
Piła Główna_i,0
Piła Główna_o,1745
