Station Name,Travel Time
Rzeszów Główny                   ,3
Rzeszów Zachodni                 ,17
Kolbuszowa                       ,13
Nowa Dęba                        ,13
Tarnobrzeg                       ,24
Stalowa Wola Charzewice          ,15
Zaklików                         ,22
Kraśnik                          ,27
Lublin Główny                    ,5
Lublin Zachodni                  ,12
Nałęczów                         ,10
Puławy Miasto                    ,11
Dęblin                           ,24
Pilawa                           ,12
Otwock                           ,19
Warszawa Wschodnia               ,6
Warszawa Centralna               ,4
Warszawa Zachodnia               ,29
Sochaczew                        ,13
Łowicz Główny                    ,20
Kutno                            ,31
Włocławek                        ,19
Aleksandrów Kujawski             ,13
Toruń Główny                     ,18
Solec Kujawski                   ,8
Bydgoszcz Wschód                 ,4
Bydgoszcz Leśna                  ,5
Bydgoszcz Główna                 ,1548
