Station Name,Travel Time
Terespol                         ,7
Małaszewicze Przystanek          ,8
Chotyłów                         ,10
Biała Podlaska                   ,12
Międzyrzec Podlaski              ,13
Łuków                            ,14
Siedlce                          ,3
Siedlce Zachodnie                ,14
Mrozy                            ,9
Mińsk Mazowiecki                 ,20
Warszawa Wschodnia               ,6
Warszawa Centralna               ,4
Warszawa Zachodnia               ,19
Żyrardów                         ,11
Skierniewice                     ,20
Koluszki                         ,13
Łódź Widzew                      ,7
Łódź Fabryczna                   ,1839
