Station Name,Travel Time
Zakopane_i,0
Zakopane_o,6
Poronin_i,1
Poronin_o,12
Nowy Targ_i,1
Nowy Targ_o,28
Chabówka Stadion_i,1
Chabówka Stadion_o,24
Maków Podhalański_i,1
Maków Podhalański_o,5
Sucha Beskidzka Zamek_i,1
Sucha Beskidzka Zamek_o,22
Kalwaria Zebrzydowska Lanckorona_i,1
Kalwaria Zebrzydowska Lanckorona_o,32
Kraków Główny_i,4
Kraków Główny_o,28
Miechów_i,2
Miechów_o,16
Sędziszów_i,1
Sędziszów_o,12
Jędrzejów_i,1
Jędrzejów_o,31
Kielce_i,15
Kielce_o,25
Suchedniów_i,0
Suchedniów_o,7
Skarżysko Kamienna_i,1
Skarżysko Kamienna_o,27
Radom Główny_i,1
Radom Główny_o,23
Warka_i,1
Warka_o,14
Piaseczno_i,1
Piaseczno_o,7
Warszawa Służewiec_i,1
Warszawa Służewiec_o,8
Warszawa Zachodnia (Peron 9)_i,1
Warszawa Zachodnia (Peron 9)_o,3
Warszawa Młynów_i,1
Warszawa Młynów_o,4
Warszawa Gdańska_i,2
Warszawa Gdańska_o,8
Warszawa Wschodnia_i,12
Warszawa Wschodnia_o,1624
