Station Name,Travel Time
Warszawa Wschodnia               ,6
Warszawa Centralna               ,4
Warszawa Zachodnia               ,20
Żyrardów                         ,12
Skierniewice                     ,19
Koluszki                         ,13
Łódź Widzew                      ,9
Łódź Chojny                      ,8
Łódź Retkinia                    ,7
Pabianice                        ,10
Łask                             ,8
Zduńska Wola                     ,12
Sieradz                          ,30
Kalisz                           ,15
Ostrów Wielkopolski              ,27
Krotoszyn                        ,14
Milicz                           ,29
Oleśnica Rataje                  ,18
Wrocław Nadodrze                 ,4
Wrocław Mikołajów                ,5
Wrocław Główny                   ,11
Wrocław Leśnica                  ,11
Środa Śląska                     ,16
Legnica                          ,10
Chojnów                          ,13
Bolesławiec                      ,12
Węgliniec                        ,8
Pieńsk                           ,6
Zgorzelec Miasto                 ,2
Zgorzelec                        ,1552
