Station Name,Travel Time
Warszawa Centralna_i,0
Warszawa Centralna_o,6
Warszawa Wschodnia_i,3
Warszawa Wschodnia_o,18
Nowy Dwór Mazowiecki_i,0
Nowy Dwór Mazowiecki_o,29
Ciechanów_i,0
Ciechanów_o,25
Mława_i,0
Mława_o,9
Działdowo_i,0
Działdowo_o,31
Iława Główna_i,12
Iława Główna_o,22
Jabłonowo Pomorskie_i,2
Jabłonowo Pomorskie_o,11
Wąbrzeźno_i,0
Wąbrzeźno_o,8
Kowalewo Pomorskie_i,0
Kowalewo Pomorskie_o,14
Toruń Wschodni_i,0
Toruń Wschodni_o,3
Toruń Miasto_i,0
Toruń Miasto_o,4
Toruń Główny_i,2
Toruń Główny_o,18
Solec Kujawski_i,1
Solec Kujawski_o,8
Bydgoszcz Wschód_i,1
Bydgoszcz Wschód_o,3
Bydgoszcz Leśna_i,1
Bydgoszcz Leśna_o,5
Bydgoszcz Główna_i,0
Bydgoszcz Główna_o,1810
