Station Name,Travel Time
Sandomierz                       ,28
Stalowa Wola Rozwadów            ,3
Stalowa Wola Centrum             ,10
Nisko                            ,8
Rudnik nad Sanem                 ,13
Nowa Sarzyna                     ,7
Leżajsk                          ,22
Przeworsk                        ,9
Jarosław                         ,9
Radymno                          ,13
Przemyśl Zasanie                 ,3
Przemyśl Główny                  ,0943
