Station Name,Travel Time
Warszawa Wschodnia_i,5
Warszawa Wschodnia_o,6
Warszawa Centralna_i,6
Warszawa Centralna_o,4
Warszawa Zachodnia_i,2
Warszawa Zachodnia_o,13
Grodzisk Mazowiecki_i,1
Grodzisk Mazowiecki_o,8
Żyrardów_i,1
Żyrardów_o,11
Skierniewice_i,1
Skierniewice_o,19
Koluszki_i,1
Koluszki_o,13
Łódź Widzew_i,3
Łódź Widzew_o,9
Łódź Chojny_i,1
Łódź Chojny_o,8
Łódź Retkinia_i,0
Łódź Retkinia_o,7
Pabianice_i,1
Pabianice_o,10
Łask_i,1
Łask_o,8
Zduńska Wola_i,1
Zduńska Wola_o,12
Sieradz_i,1
Sieradz_o,30
Kalisz_i,1
Kalisz_o,15
Ostrów Wielkopolski_i,2
Ostrów Wielkopolski_o,27
Krotoszyn_i,1
Krotoszyn_o,20
Milicz_i,1
Milicz_o,23
Oleśnica Rataje_i,1
Oleśnica Rataje_o,19
Wrocław Nadodrze_i,3
Wrocław Nadodrze_o,4
Wrocław Mikołajów_i,3
Wrocław Mikołajów_o,5
Wrocław Główny_i,0
Wrocław Główny_o,410
