Station Name,Travel Time
Łódź Fabryczna                   ,6
Łódź Widzew                      ,13
Koluszki                         ,18
Skierniewice                     ,12
Żyrardów                         ,19
Warszawa Zachodnia               ,5
Warszawa Centralna               ,6
Warszawa Wschodnia               ,18
Wołomin                          ,9
Tłuszcz                          ,11
Łochów                           ,15
Małkinia                         ,12
Czyżew                           ,10
Szepietowo                       ,19
Łapy                             ,13
Białystok Zielone Wzgórza        ,3
Białystok                        ,0339
