Station Name,Travel Time
Mockava_i,0
Mockava_o,15
Trakiszki_i,10
Trakiszki_o,28
Suwałki_i,29
Suwałki_o,22
Augustów_i,3
Augustów_o,23
Dąbrowa Białostocka_i,1
Dąbrowa Białostocka_o,23
Sokółka_i,1
Sokółka_o,34
Białystok_i,25
Białystok_o,4
Białystok Zielone Wzgórza_i,1
Białystok Zielone Wzgórza_o,15
Łapy_i,1
Łapy_o,23
Szepietowo_i,1
Szepietowo_o,11
Czyżew_i,1
Czyżew_o,13
Małkinia_i,1
Małkinia_o,16
Łochów_i,1
Łochów_o,10
Tłuszcz_i,3
Tłuszcz_o,10
Wołomin_i,1
Wołomin_o,18
Warszawa Wschodnia_i,3
Warszawa Wschodnia_o,6
Warszawa Centralna_i,8
Warszawa Centralna_o,4
Warszawa Zachodnia_i,2
Warszawa Zachodnia_o,62
Opoczno Południe_i,5
Opoczno Południe_o,34
Włoszczowa Północ_i,1
Włoszczowa Północ_o,39
Miechów_i,17
Miechów_o,34
Kraków Główny_i,0
Kraków Główny_o,1425
