Station Name,Travel Time
Suwałki_i,0
Suwałki_o,22
Augustów_i,10
Augustów_o,23
Dąbrowa Białostocka_i,1
Dąbrowa Białostocka_o,23
Sokółka_i,1
Sokółka_o,34
Białystok_i,27
Białystok_o,3
Białystok Zielone Wzgórza_i,1
Białystok Zielone Wzgórza_o,13
Łapy_i,1
Łapy_o,28
Szepietowo_i,1
Szepietowo_o,10
Czyżew_i,1
Czyżew_o,11
Małkinia_i,1
Małkinia_o,12
Łochów_i,1
Łochów_o,9
Tłuszcz_i,1
Tłuszcz_o,7
Wołomin_i,1
Wołomin_o,15
Warszawa Wschodnia_i,2
Warszawa Wschodnia_o,6
Warszawa Centralna_i,14
Warszawa Centralna_o,4
Warszawa Zachodnia_i,2
Warszawa Zachodnia_o,30
Sochaczew_i,1
Sochaczew_o,12
Łowicz Główny_i,1
Łowicz Główny_o,20
Kutno_i,1
Kutno_o,22
Koło_i,1
Koło_o,15
Konin_i,1
Konin_o,12
Słupca_i,1
Słupca_o,12
Września_i,1
Września_o,19
Swarzędz_i,1
Swarzędz_o,18
Poznań Główny_i,24
Poznań Główny_o,18
Szamotuły_i,2
Szamotuły_o,10
Wronki_i,1
Wronki_o,18
Krzyż_i,1
Krzyż_o,16
Dobiegniew_i,1
Dobiegniew_o,26
Choszczno_i,1
Choszczno_o,29
Stargard_i,1
Stargard_o,19
Szczecin Dąbie_i,1
Szczecin Dąbie_o,11
Szczecin Główny_i,2
Szczecin Główny_o,15
Szczecin Dąbie_i,1
Szczecin Dąbie_o,16
Goleniów_i,1
Goleniów_o,17
Wysoka Kamieńska_i,1
Wysoka Kamieńska_o,20
Międzyzdroje_i,1
Międzyzdroje_o,11
Świnoujście_i,0
Świnoujście_o,640
