Station Name,Travel Time
Warszawa Wschodnia_i,3
Warszawa Wschodnia_o,6
Warszawa Centralna_i,7
Warszawa Centralna_o,3
Warszawa Zachodnia_i,1
Warszawa Zachodnia_o,48
Opoczno Południe_i,1
Opoczno Południe_o,25
Włoszczowa Północ_i,1
Włoszczowa Północ_o,34
Zawiercie_i,7
Zawiercie_o,17
Dąbrowa Górnicza_i,3
Dąbrowa Górnicza_o,10
Sosnowiec Główny_i,1
Sosnowiec Główny_o,9
Katowice_i,13
Katowice_o,14
Tychy_i,1
Tychy_o,27
Rybnik_i,1
Rybnik_o,13
Wodzisław Śląski_i,1
Wodzisław Śląski_o,17
Chałupki_i,1
Chałupki_o,1713
