Station Name,Travel Time
Warszawa Gdańska_i,7
Warszawa Gdańska_o,4
Warszawa Młynów_i,1
Warszawa Młynów_o,2
Warszawa Zachodnia (Peron 9)_i,1
Warszawa Zachodnia (Peron 9)_o,8
Warszawa Służewiec_i,1
Warszawa Służewiec_o,8
Piaseczno_i,1
Piaseczno_o,18
Warka_i,1
Warka_o,27
Radom Główny_i,2
Radom Główny_o,32
Skarżysko Kościelne_i,1
Skarżysko Kościelne_o,10
Starachowice Wschodnie_i,1
Starachowice Wschodnie_o,19
Ostrowiec Świętokrzyski_i,0
Ostrowiec Świętokrzyski_o,1546
