Station Name,Travel Time
Warszawa Wschodnia_i,5
Warszawa Wschodnia_o,6
Warszawa Centralna_i,5
Warszawa Centralna_o,4
Warszawa Zachodnia_i,2
Warszawa Zachodnia_o,30
Sochaczew_i,1
Sochaczew_o,13
Łowicz Główny_i,1
Łowicz Główny_o,20
Kutno_i,1
Kutno_o,22
Koło_i,1
Koło_o,14
Konin_i,1
Konin_o,13
Słupca_i,1
Słupca_o,12
Września_i,1
Września_o,19
Swarzędz_i,1
Swarzędz_o,18
Poznań Główny_i,16
Poznań Główny_o,18
Szamotuły_i,2
Szamotuły_o,9
Wronki_i,4
Wronki_o,19
Krzyż_i,6
Krzyż_o,16
Dobiegniew_i,1
Dobiegniew_o,27
Choszczno_i,1
Choszczno_o,28
Stargard_i,1
Stargard_o,22
Szczecin Dąbie_i,1
Szczecin Dąbie_o,12
Szczecin Główny_i,5
Szczecin Główny_o,458
