Station Name,Travel Time
Poznań Główny_i,0
Poznań Główny_o,22
Środa Wielkopolska_i,1
Środa Wielkopolska_o,19
Jarocin_i,1
Jarocin_o,12
Pleszew_i,1
Pleszew_o,30
Kalisz_i,1
Kalisz_o,30
Sieradz_i,1
Sieradz_o,12
Zduńska Wola_i,1
Zduńska Wola_o,8
Łask_i,1
Łask_o,10
Pabianice_i,2
Pabianice_o,15
Łódź Chojny_i,8
Łódź Chojny_o,8
Łódź Widzew_i,2
Łódź Widzew_o,29
Tomaszów Mazowiecki_i,1
Tomaszów Mazowiecki_o,23
Drzewica_i,1
Drzewica_o,9
Przysucha_i,1
Przysucha_o,23
Radom Główny_i,1
Radom Główny_o,14
Pionki Zachodnie_i,1
Pionki Zachodnie_o,31
Puławy Miasto_i,1
Puławy Miasto_o,12
Nałęczów_i,1
Nałęczów_o,12
Lublin Zachodni_i,1
Lublin Zachodni_o,5
Lublin Główny_i,0
Lublin Główny_o,1338
