Station Name,Travel Time
Łódź Fabryczna                   ,6
Łódź Widzew                      ,5
Łódź Dąbrowa                     ,4
Łódź Chojny                      ,3
Łódź Pabianicka                  ,3
Łódź Kaliska                     ,4
Łódź Żabiniec                    ,5
Zgierz                           ,15
Ozorków                          ,6
Łęczyca                          ,22
Kutno                            ,34
Włocławek                        ,20
Aleksandrów Kujawski             ,13
Toruń Główny                     ,17
Solec Kujawski                   ,8
Bydgoszcz Wschód                 ,3
Bydgoszcz Leśna                  ,5
Bydgoszcz Główna                 ,28
Laskowice Pomorskie              ,17
Smętowo                          ,11
Pelplin                          ,12
Tczew                            ,10
Pruszcz Gdański                  ,7
Gdańsk Główny                    ,4
Gdańsk Wrzeszcz                  ,4
Gdańsk Oliwa                     ,3
Sopot                            ,9
Gdynia Główna                    ,0516
