Station Name,Travel Time
Kraków Główny_i,0
Kraków Główny_o,69
Tarnów_i,3
Tarnów_o,19
Tuchów_i,1
Tuchów_o,13
Bogoniowice Ciężkowice_i,1
Bogoniowice Ciężkowice_o,12
Bobowa Miasto_i,1
Bobowa Miasto_o,8
Stróże_i,1
Stróże_o,4
Grybów_i,1
Grybów_o,27
Nowy Sącz_i,2
Nowy Sącz_o,14
Stary Sącz_i,1
Stary Sącz_o,8
Rytro_i,1
Rytro_o,6
Piwniczna Zdrój_i,1
Piwniczna Zdrój_o,8
Łomnica Zdrój_i,1
Łomnica Zdrój_o,4
Wierchomla Wielka_i,1
Wierchomla Wielka_o,10
Żegiestów Zdrój_i,2
Żegiestów Zdrój_o,13
Muszyna_i,20
Muszyna_o,2
Muszyna Zdrój_i,1
Muszyna Zdrój_o,10
Krynica Zdrój_i,0
Krynica Zdrój_o,1246
