Station Name,Travel Time
Warszawa Centralna               ,6
Warszawa Wschodnia               ,18
Nowy Dwór Mazowiecki             ,29
Ciechanów                        ,25
Mława                            ,9
Działdowo                        ,31
Iława Główna                     ,22
Jabłonowo Pomorskie              ,11
Wąbrzeźno                        ,8
Kowalewo Pomorskie               ,14
Toruń Wschodni                   ,3
Toruń Miasto                     ,4
Toruń Główny                     ,18
Solec Kujawski                   ,8
Bydgoszcz Wschód                 ,3
Bydgoszcz Leśna                  ,5
Bydgoszcz Główna                 ,1810
