Station Name,Travel Time
Bielsko-Biała Główna_i,0
Bielsko-Biała Główna_o,10
Czechowice-Dziedzice_i,1
Czechowice-Dziedzice_o,8
Pszczyna_i,4
Pszczyna_o,19
Tychy_i,0
Tychy_o,13
Katowice_i,6
Katowice_o,10
Sosnowiec Główny_i,1
Sosnowiec Główny_o,50
Włoszczowa Północ_i,0
Włoszczowa Północ_o,75
Warszawa Zachodnia_i,3
Warszawa Zachodnia_o,5
Warszawa Centralna_i,15
Warszawa Centralna_o,6
Warszawa Wschodnia_i,5
Warszawa Wschodnia_o,59
Działdowo_i,0
Działdowo_o,31
Iława Główna_i,0
Iława Główna_o,32
Malbork_i,0
Malbork_o,10
Tczew_i,0
Tczew_o,13
Gdańsk Główny_i,1
Gdańsk Główny_o,4
Gdańsk Wrzeszcz_i,1
Gdańsk Wrzeszcz_o,4
Gdańsk Oliwa_i,1
Gdańsk Oliwa_o,4
Sopot_i,1
Sopot_o,8
Gdynia Główna_i,0
Gdynia Główna_o,1701
