Station Name,Travel Time
Słupsk_i,0
Słupsk_o,17
Sławno_i,1
Sławno_o,30
Koszalin_i,4
Koszalin_o,16
Białogard_i,1
Białogard_o,58
Szczecinek_i,2
Szczecinek_o,29
Jastrowie_i,1
Jastrowie_o,28
Piła Główna_i,3
Piła Główna_o,14
Chodzież_i,1
Chodzież_o,16
Rogoźno Wielkopolskie_i,1
Rogoźno Wielkopolskie_o,11
Oborniki Wielkopolskie Miasto_i,1
Oborniki Wielkopolskie Miasto_o,25
Poznań Główny_i,7
Poznań Główny_o,26
Kościan_i,1
Kościan_o,16
Leszno_i,1
Leszno_o,18
Rawicz_i,1
Rawicz_o,9
Żmigród_i,1
Żmigród_o,12
Oborniki Śląskie_i,1
Oborniki Śląskie_o,13
Wrocław Mikołajów_i,1
Wrocław Mikołajów_o,5
Wrocław Główny_i,8
Wrocław Główny_o,18
Oława_i,2
Oława_o,10
Brzeg_i,1
Brzeg_o,23
Opole Główne_i,7
Opole Główne_o,20
Strzelce Opolskie_i,2
Strzelce Opolskie_o,16
Pyskowice_i,3
Pyskowice_o,11
Gliwice_i,4
Gliwice_o,6
Zabrze_i,1
Zabrze_o,10
Chorzów Batory_i,1
Chorzów Batory_o,7
Katowice_i,0
Katowice_o,1404
