Station Name,Travel Time
Białystok                        ,3
Białystok Zielone Wzgórza        ,13
Łapy                             ,20
Szepietowo                       ,11
Czyżew                           ,11
Małkinia                         ,13
Łochów                           ,10
Tłuszcz                          ,8
Wołomin                          ,16
Warszawa Wschodnia               ,6
Warszawa Centralna               ,4
Warszawa Zachodnia               ,18
Żyrardów                         ,11
Skierniewice                     ,19
Koluszki                         ,23
Piotrków Trybunalski             ,26
Radomsko                         ,23
Częstochowa                      ,4
Częstochowa Stradom              ,21
Lubliniec                        ,32
Opole Główne                     ,18
Brzeg                            ,8
Oława                            ,19
Wrocław Główny                   ,1013
