Station Name,Travel Time
Łódź Fabryczna_i,23
Łódź Fabryczna_o,6
Łódź Widzew_i,10
Łódź Widzew_o,5
Łódź Dąbrowa_i,0
Łódź Dąbrowa_o,4
Łódź Chojny_i,1
Łódź Chojny_o,3
Łódź Pabianicka_i,1
Łódź Pabianicka_o,3
Łódź Kaliska_i,2
Łódź Kaliska_o,4
Łódź Żabiniec_i,1
Łódź Żabiniec_o,5
Zgierz_i,1
Zgierz_o,15
Ozorków_i,0
Ozorków_o,6
Łęczyca_i,1
Łęczyca_o,22
Kutno_i,1
Kutno_o,34
Włocławek_i,1
Włocławek_o,20
Aleksandrów Kujawski_i,1
Aleksandrów Kujawski_o,13
Toruń Główny_i,2
Toruń Główny_o,17
Solec Kujawski_i,1
Solec Kujawski_o,8
Bydgoszcz Wschód_i,1
Bydgoszcz Wschód_o,3
Bydgoszcz Leśna_i,1
Bydgoszcz Leśna_o,5
Bydgoszcz Główna_i,10
Bydgoszcz Główna_o,28
Laskowice Pomorskie_i,2
Laskowice Pomorskie_o,17
Smętowo_i,0
Smętowo_o,11
Pelplin_i,0
Pelplin_o,12
Tczew_i,1
Tczew_o,10
Pruszcz Gdański_i,0
Pruszcz Gdański_o,7
Gdańsk Główny_i,6
Gdańsk Główny_o,4
Gdańsk Wrzeszcz_i,1
Gdańsk Wrzeszcz_o,4
Gdańsk Oliwa_i,1
Gdańsk Oliwa_o,3
Sopot_i,1
Sopot_o,9
Gdynia Główna_i,0
Gdynia Główna_o,516
