Station Name,Travel Time
Przemyśl Główny_i,5
Przemyśl Główny_o,23
Jarosław_i,1
Jarosław_o,9
Przeworsk_i,1
Przeworsk_o,12
Łańcut_i,1
Łańcut_o,11
Rzeszów Główny_i,3
Rzeszów Główny_o,22
Dębica_i,1
Dębica_o,15
Tarnów_i,2
Tarnów_o,18
Bochnia_i,1
Bochnia_o,17
Kraków Płaszów_i,1
Kraków Płaszów_o,5
Kraków Główny_i,10
Kraków Główny_o,48
Katowice_i,7
Katowice_o,15
Zabrze_i,1
Zabrze_o,7
Gliwice_i,2
Gliwice_o,44
Opole Główne_i,2
Opole Główne_o,45
Wrocław Główny_i,10
Wrocław Główny_o,36
Legnica_i,1
Legnica_o,14
Lubin_i,1
Lubin_o,32
Głogów_i,3
Głogów_o,33
Zielona Góra Główna_i,2
Zielona Góra Główna_o,42
Rzepin_i,10
Rzepin_o,21
Frankfurt (Oder)_i,0
Frankfurt (Oder)_o,712
