Station Name,Travel Time
Przemyśl Główny                  ,3
Przemyśl Zasanie                 ,20
Jarosław                         ,9
Przeworsk                        ,12
Łańcut                           ,10
Rzeszów Główny                   ,22
Dębica                           ,18
Tarnów                           ,18
Bochnia                          ,18
Kraków Płaszów                   ,6
Kraków Główny                    ,51
Katowice                         ,13
Zabrze                           ,6
Gliwice                          ,44
Opole Główne                     ,52
Wrocław Główny                   ,1559
