Station Name,Travel Time
Przemyśl Główny_i,5
Przemyśl Główny_o,3
Przemyśl Zasanie_i,1
Przemyśl Zasanie_o,13
Radymno_i,1
Radymno_o,9
Jarosław_i,1
Jarosław_o,10
Przeworsk_i,1
Przeworsk_o,13
Łańcut_i,1
Łańcut_o,11
Rzeszów Główny_i,4
Rzeszów Główny_o,14
Sędziszów Małopolski_i,1
Sędziszów Małopolski_o,6
Ropczyce_i,1
Ropczyce_o,8
Dębica_i,1
Dębica_o,16
Tarnów_i,3
Tarnów_o,13
Brzesko Okocim_i,1
Brzesko Okocim_o,7
Bochnia_i,1
Bochnia_o,18
Kraków Płaszów_i,1
Kraków Płaszów_o,6
Kraków Główny_i,25
Kraków Główny_o,32
Miechów_i,1
Miechów_o,36
Włoszczowa Północ_i,1
Włoszczowa Północ_o,28
Opoczno Południe_i,1
Opoczno Południe_o,65
Warszawa Gdańska_i,9
Warszawa Gdańska_o,1723
