Station Name,Travel Time
Kraków Główny_i,5
Kraków Główny_o,17
Krzeszowice_i,4
Krzeszowice_o,9
Trzebinia_i,1
Trzebinia_o,10
Jaworzno Szczakowa_i,1
Jaworzno Szczakowa_o,9
Mysłowice_i,4
Mysłowice_o,10
Katowice_i,7
Katowice_o,15
Zabrze_i,1
Zabrze_o,7
Gliwice_i,7
Gliwice_o,25
Kędzierzyn Koźle_i,1
Kędzierzyn Koźle_o,8
Zdzieszowice_i,1
Zdzieszowice_o,7
Gogolin_i,1
Gogolin_o,12
Opole Główne_i,2
Opole Główne_o,23
Brzeg_i,2
Brzeg_o,10
Oława_i,1
Oława_o,21
Wrocław Główny_i,10
Wrocław Główny_o,41
Legnica_i,3
Legnica_o,14
Lubin_i,1
Lubin_o,26
Głogów_i,1
Głogów_o,16
Bytom Odrzański_i,1
Bytom Odrzański_o,7
Nowa Sól_i,1
Nowa Sól_o,13
Zielona Góra Główna_i,2
Zielona Góra Główna_o,44
Rzepin_i,2
Rzepin_o,22
Kostrzyn_i,3
Kostrzyn_o,32
Chojna_i,1
Chojna_o,21
Gryfino_i,1
Gryfino_o,20
Szczecin Główny_i,5
Szczecin Główny_o,12
Szczecin Dąbie_i,3
Szczecin Dąbie_o,18
Goleniów_i,1
Goleniów_o,18
Wysoka Kamieńska_i,1
Wysoka Kamieńska_o,20
Międzyzdroje_i,2
Międzyzdroje_o,12
Świnoujście_i,0
Świnoujście_o,448
