Station Name,Travel Time
Gdynia Główna_i,7
Gdynia Główna_o,8
Sopot_i,2
Sopot_o,3
Gdańsk Oliwa_i,1
Gdańsk Oliwa_o,3
Gdańsk Wrzeszcz_i,1
Gdańsk Wrzeszcz_o,4
Gdańsk Główny_i,2
Gdańsk Główny_o,16
Tczew_i,4
Tczew_o,11
Malbork_i,2
Malbork_o,20
Prabuty_i,1
Prabuty_o,16
Iława Główna_i,1
Iława Główna_o,31
Działdowo_i,1
Działdowo_o,9
Mława_i,1
Mława_o,15
Ciechanów_i,1
Ciechanów_o,28
Nowy Dwór Mazowiecki_i,1
Nowy Dwór Mazowiecki_o,8
Legionowo_i,1
Legionowo_o,13
Warszawa Wschodnia_i,7
Warszawa Wschodnia_o,6
Warszawa Centralna_i,7
Warszawa Centralna_o,4
Warszawa Zachodnia_i,2
Warszawa Zachodnia_o,13
Grodzisk Mazowiecki_i,1
Grodzisk Mazowiecki_o,8
Żyrardów_i,1
Żyrardów_o,11
Skierniewice_i,1
Skierniewice_o,19
Koluszki_i,3
Koluszki_o,19
Tomaszów Mazowiecki_i,3
Tomaszów Mazowiecki_o,36
Opoczno Południe_i,1
Opoczno Południe_o,28
Włoszczowa Północ_i,1
Włoszczowa Północ_o,36
Miechów_i,1
Miechów_o,37
Kraków Główny_i,5
Kraków Główny_o,931
