Station Name,Travel Time
Poznań Główny_i,0
Poznań Główny_o,21
Środa Wielkopolska_i,1
Środa Wielkopolska_o,19
Jarocin_i,1
Jarocin_o,19
Pleszew_i,1
Pleszew_o,30
Kalisz_i,1
Kalisz_o,30
Sieradz_i,1
Sieradz_o,12
Zduńska Wola_i,1
Zduńska Wola_o,8
Łask_i,1
Łask_o,10
Pabianice_i,1
Pabianice_o,7
Łódź Retkinia_i,1
Łódź Retkinia_o,8
Łódź Chojny_i,1
Łódź Chojny_o,8
Łódź Widzew_i,3
Łódź Widzew_o,29
Tomaszów Mazowiecki_i,2
Tomaszów Mazowiecki_o,25
Opoczno Południe_i,1
Opoczno Południe_o,25
Włoszczowa Północ_i,7
Włoszczowa Północ_o,36
Miechów_i,1
Miechów_o,30
Kraków Główny_i,0
Kraków Główny_o,743
