Station Name,Travel Time
Gdynia Główna_i,0
Gdynia Główna_o,8
Sopot_i,1
Sopot_o,4
Gdańsk Oliwa_i,1
Gdańsk Oliwa_o,4
Gdańsk Wrzeszcz_i,1
Gdańsk Wrzeszcz_o,4
Gdańsk Główny_i,2
Gdańsk Główny_o,15
Tczew_i,0
Tczew_o,10
Malbork_i,0
Malbork_o,33
Iława Główna_i,0
Iława Główna_o,88
Warszawa Wschodnia_i,2
Warszawa Wschodnia_o,6
Warszawa Centralna_i,19
Warszawa Centralna_o,4
Warszawa Zachodnia_i,3
Warszawa Zachodnia_o,127
Sosnowiec Główny_i,1
Sosnowiec Główny_o,9
Katowice_i,3
Katowice_o,15
Tychy_i,1
Tychy_o,17
Pszczyna_i,0
Pszczyna_o,9
Czechowice-Dziedzice_i,1
Czechowice-Dziedzice_o,10
Bielsko-Biała Główna_i,0
Bielsko-Biała Główna_o,933
