Station Name,Travel Time
Warszawa Wschodnia               ,6
Warszawa Centralna               ,4
Warszawa Zachodnia               ,27
Sochaczew                        ,13
Łowicz Główny                    ,19
Kutno                            ,30
Włocławek                        ,19
Aleksandrów Kujawski             ,12
Toruń Główny                     ,17
Solec Kujawski                   ,8
Bydgoszcz Wschód                 ,4
Bydgoszcz Leśna                  ,5
Bydgoszcz Główna                 ,0625
