Station Name,Travel Time
Chełm_i,0
Chełm_o,3
Chełm Miasto_i,1
Chełm Miasto_o,10
Rejowiec_i,1
Rejowiec_o,10
Trawniki_i,1
Trawniki_o,17
Świdnik Miasto_i,1
Świdnik Miasto_o,9
Lublin Główny_i,5
Lublin Główny_o,5
Lublin Zachodni_i,1
Lublin Zachodni_o,12
Nałęczów_i,1
Nałęczów_o,10
Puławy Miasto_i,1
Puławy Miasto_o,11
Dęblin_i,1
Dęblin_o,24
Pilawa_i,1
Pilawa_o,12
Otwock_i,1
Otwock_o,19
Warszawa Wschodnia_i,10
Warszawa Wschodnia_o,6
Warszawa Centralna_i,5
Warszawa Centralna_o,4
Warszawa Zachodnia_i,3
Warszawa Zachodnia_o,1823
