Station Name,Travel Time
Łódź Kaliska_i,0
Łódź Kaliska_o,4
Łódź Retkinia_i,0
Łódź Retkinia_o,7
Pabianice_i,1
Pabianice_o,10
Łask_i,1
Łask_o,8
Zduńska Wola_i,1
Zduńska Wola_o,12
Sieradz_i,1
Sieradz_o,30
Kalisz_i,1
Kalisz_o,30
Pleszew_i,1
Pleszew_o,16
Jarocin_i,1
Jarocin_o,19
Środa Wielkopolska_i,1
Środa Wielkopolska_o,20
Poznań Główny_i,4
Poznań Główny_o,19
Szamotuły_i,1
Szamotuły_o,10
Wronki_i,1
Wronki_o,18
Krzyż_i,1
Krzyż_o,16
Dobiegniew_i,1
Dobiegniew_o,25
Choszczno_i,8
Choszczno_o,29
Stargard_i,1
Stargard_o,19
Szczecin Dąbie_i,2
Szczecin Dąbie_o,13
Szczecin Główny_i,15
Szczecin Główny_o,641
