Station Name,Travel Time
Wrocław Główny_i,0
Wrocław Główny_o,5
Wrocław Mikołajów_i,1
Wrocław Mikołajów_o,4
Wrocław Nadodrze_i,1
Wrocław Nadodrze_o,20
Oleśnica Rataje_i,1
Oleśnica Rataje_o,16
Twardogóra_i,1
Twardogóra_o,32
Ostrów Wielkopolski_i,2
Ostrów Wielkopolski_o,16
Kalisz_i,1
Kalisz_o,31
Sieradz_i,1
Sieradz_o,14
Zduńska Wola_i,1
Zduńska Wola_o,9
Łask_i,1
Łask_o,11
Pabianice_i,1
Pabianice_o,16
Łódź Chojny_i,6
Łódź Chojny_o,9
Łódź Widzew_i,2
Łódź Widzew_o,15
Koluszki_i,1
Koluszki_o,21
Skierniewice_i,1
Skierniewice_o,13
Żyrardów_i,1
Żyrardów_o,22
Warszawa Zachodnia_i,2
Warszawa Zachodnia_o,5
Warszawa Centralna_i,21
Warszawa Centralna_o,6
Warszawa Wschodnia_i,3
Warszawa Wschodnia_o,19
Wołomin_i,1
Wołomin_o,10
Tłuszcz_i,2
Tłuszcz_o,13
Łochów_i,1
Łochów_o,17
Małkinia_i,2
Małkinia_o,14
Czyżew_i,1
Czyżew_o,12
Szepietowo_i,1
Szepietowo_o,22
Łapy_i,1
Łapy_o,15
Białystok Zielone Wzgórza_i,1
Białystok Zielone Wzgórza_o,4
Białystok_i,0
Białystok_o,442
